Date,Adj Close
12/31/12,16.275549
1/2/13,16.791183
1/3/13,16.579245
1/4/13,16.117434
1/7/13,16.022625
1/8/13,16.065752
1/9/13,15.814655
1/10/13,16.010704
1/11/13,15.912524
1/14/13,15.345203
1/15/13,14.861074
1/16/13,15.477929
1/17/13,15.37364
1/18/13,15.291683
1/22/13,15.437569
1/23/13,15.720159
1/24/13,13.777809
1/25/13,13.453013
1/28/13,13.757318
1/29/13,14.015437
1/30/13,13.971399
1/31/13,13.930422
2/1/13,13.873225
2/4/13,13.527636
2/5/13,14.002289
2/6/13,13.987302
2/7/13,14.403198
2/8/13,14.611152
2/11/13,14.763417
2/12/13,14.393358
2/13/13,14.365977
2/14/13,14.35306
2/15/13,14.155263
2/19/13,14.15003
2/20/13,13.807347
2/21/13,13.721523
2/22/13,13.867643
2/25/13,13.621243
2/26/13,13.811039
2/27/13,13.675685
2/28/13,13.578173
3/1/13,13.24195
3/4/13,12.921414
3/5/13,13.262561
3/6/13,13.093987
3/7/13,13.245337
3/8/13,13.280405
3/11/13,13.469587
3/12/13,13.179195
3/13/13,13.176734
3/14/13,13.304396
3/15/13,13.647695
3/18/13,14.018682
3/19/13,13.980846
3/20/13,13.906709
3/21/13,13.926707
3/22/13,14.209095
3/25/13,14.260467
3/26/13,14.185402
3/27/13,13.906709
3/28/13,13.616933
4/1/13,13.193962
4/2/13,13.221028
4/3/13,13.288706
4/4/13,13.157355
4/5/13,13.018313
4/8/13,13.110903
4/9/13,13.134592
4/10/13,13.402524
4/11/13,13.36069
4/12/13,13.22134
4/15/13,12.915262
4/16/13,13.111827
4/17/13,12.390778
4/18/13,12.060085
4/19/13,12.013331
4/22/13,12.263726
4/23/13,12.493214
4/24/13,12.472599
4/25/13,12.562426
4/26/13,12.833744
4/29/13,13.231188
4/30/13,13.620626
5/1/13,13.513267
5/2/13,13.704913
5/3/13,13.842111
5/6/13,14.17218
5/7/13,14.109118
5/8/13,14.268462
5/9/13,14.143986
5/10/13,14.026316
5/13/13,14.081125
5/14/13,13.744223
5/15/13,13.279437
5/16/13,13.456863
5/17/13,13.415992
5/20/13,13.715428
5/21/13,13.614171
5/22/13,13.666503
5/23/13,13.690965
5/24/13,13.784166
5/28/13,13.66929
5/29/13,13.777974
5/30/13,13.983275
5/31/13,13.925991
6/3/13,13.956643
6/4/13,13.912983
6/5/13,13.782928
6/6/13,13.577011
6/7/13,13.680745
6/10/13,13.590327
6/11/13,13.550382
6/12/13,13.382857
6/13/13,13.499597
6/14/13,13.316596
6/17/13,13.376977
6/18/13,13.369853
6/19/13,13.098292
6/20/13,12.907546
6/21/13,12.80412
6/24/13,12.464741
6/25/13,12.467528
6/26/13,12.326324
6/27/13,12.193482
6/28/13,12.278639
7/1/13,12.671587
7/2/13,12.958634
7/3/13,13.030163
7/5/13,12.925505
7/8/13,12.852113
7/9/13,13.078162
7/10/13,13.027998
7/11/13,13.231134
7/12/13,13.206978
7/15/13,13.235774
7/16/13,13.321239
7/17/13,13.324644
7/18/13,13.369546
7/19/13,13.158672
7/22/13,13.200786
7/23/13,12.974119
7/24/13,13.640488
7/25/13,13.578251
7/26/13,13.655354
7/29/13,13.865916
7/30/13,14.037157
7/31/13,14.01269
8/1/13,14.141198
8/2/13,14.322654
8/5/13,14.536621
8/6/13,14.40657
8/7/13,14.39821
8/8/13,14.369534
8/9/13,14.165057
8/12/13,14.567461
8/13/13,15.259741
8/14/13,15.538083
8/15/13,15.519691
8/16/13,15.657464
8/19/13,15.826095
8/20/13,15.618193
8/21/13,15.6584
8/22/13,15.677097
8/23/13,15.616629
8/26/13,15.677412
8/27/13,15.229197
8/28/13,15.301199
8/29/13,15.326133
8/30/13,15.186492
9/3/13,15.228883
9/4/13,15.544011
9/5/13,15.437402
9/6/13,15.529363
9/9/13,15.777156
9/10/13,15.417768
9/11/13,14.57837
9/12/13,14.733592
9/13/13,14.490788
9/16/13,14.030094
9/17/13,14.192182
9/18/13,14.483925
9/19/13,14.721438
9/20/13,14.569021
9/23/13,15.29309
9/24/13,15.245088
9/25/13,15.009137
9/26/13,15.155322
9/27/13,15.047157
9/30/13,14.860146
10/1/13,15.209562
10/2/13,15.259423
10/3/13,15.067736
10/4/13,15.055891
